HOSP_DISTRICT,HOSP_NAME,CATEGORY_NAME,no_of_patient,total_claim_amount,start_data,end_date
YSR Kadapa,Rims General Hospital,NEUROLOGY,1,13300,2015-07-01,2015-07-31
YSR Kadapa,Rims General Hospital,OPHTHALMOLOGY  SURGERY,1,7100,2015-07-01,2015-07-31
YSR Kadapa,Rims General Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,1,22300,2015-07-01,2015-07-31
YSR Kadapa,Rims General Hospital,POLY TRAUMA,1,22300,2015-07-01,2015-07-31
Anantapur,Govt General Hospital Anantapur,ORTHOPEDIC  SURGERY AND PROCEDURES,1,7300,2015-08-01,2015-08-31
Chittoor,S.V.R.R.Hospital,CRITICAL CARE,1,30000,2015-08-01,2015-08-31
Chittoor,S.V.R.R.Hospital,GENERAL MEDICINE,1,30000,2015-08-01,2015-08-31
East Godavari,"Government General Hospital,Kakinada",RADIATION ONCOLOGY,1,13500,2015-08-01,2015-08-31
Hyderabad,Nims Hospitals,GENITO URINARY SURGERIES,1,35500,2015-08-01,2015-08-31
Hyderabad,Nims Hospitals,PULMONOLOGY,1,42800,2015-08-01,2015-08-31
Kurnool,Govt General Hospital Kurnool,PLASTIC SURGERY,1,50000,2015-08-01,2015-08-31
Kurnool,Govt General Hospital Kurnool,POLY TRAUMA,2,62800,2015-08-01,2015-08-31
Prakasam,Rajiv Gandhi Institute of Medical Sciences RIMS Ongole,ENT  SURGERY,3,39910,2015-08-01,2015-08-31
Vishakhapatnam,King George Hospital,ENDOCRINOLOGY,1,10710,2015-08-01,2015-08-31
Vishakhapatnam,King George Hospital,NEUROLOGY,3,56660,2015-08-01,2015-08-31
Vishakhapatnam,King George Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,1,10000,2015-08-01,2015-08-31
Vishakhapatnam,King George Hospital,PEDIATRICS,1,40600,2015-08-01,2015-08-31
Vishakhapatnam,King George Hospital,RHEUMATOLOGY,2,39000,2015-08-01,2015-08-31
YSR Kadapa,Rims General Hospital,ENT  SURGERY,1,7900,2015-08-01,2015-08-31
YSR Kadapa,Rims General Hospital,GENERAL SURGERY,1,14110,2015-08-01,2015-08-31
YSR Kadapa,Rims General Hospital,GYNAECOLOGY AND OBSTETRICS  SURGERY,2,34800,2015-08-01,2015-08-31
YSR Kadapa,Rims General Hospital,POLY TRAUMA,1,22300,2015-08-01,2015-08-31
Chittoor,Area Hospital - Madanapalli,GENERAL SURGERY,1,30000,2015-09-01,2015-09-30
Chittoor,Area Hospital - Madanapalli,PEDIATRICS,1,20000,2015-09-01,2015-09-30
Chittoor,S.V.R.R.Hospital,PEDIATRICS,1,15000,2015-09-01,2015-09-30
East Godavari,"Government General Hospital,Kakinada",PEDIATRICS,1,15000,2015-09-01,2015-09-30
Guntur,Aswini Hospital,NEPHROLOGY,1,8750,2015-09-01,2015-09-30
Guntur,"Government General Hospital, Guntur",NEUROLOGY,2,25500,2015-09-01,2015-09-30
Hyderabad,Nims Hospitals,PULMONOLOGY,1,30000,2015-09-01,2015-09-30
Kurnool,Govt General Hospital Kurnool,ENT  SURGERY,1,8000,2015-09-01,2015-09-30
Kurnool,Govt General Hospital Kurnool,GENERAL SURGERY,1,19110,2015-09-01,2015-09-30
Kurnool,Govt General Hospital Kurnool,ORTHOPEDIC  SURGERY AND PROCEDURES,1,17300,2015-09-01,2015-09-30
Kurnool,Govt General Hospital Kurnool,SURGICAL ONCOLOGY,1,29100,2015-09-01,2015-09-30
Nellore,RAINBOW SUPER SPECIALITY HOSPITAL ,PULMONOLOGY,1,15000,2015-09-01,2015-09-30
Prakasam,Area Hospital - Cheerala,POLY TRAUMA,1,29100,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,1,55500,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,GASTROENTEROLOGY,3,122800,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,GENERAL MEDICINE,1,14500,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,GENITO URINARY SURGERIES,1,25000,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,NEUROLOGY,8,95192,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,PULMONOLOGY,1,28200,2015-09-01,2015-09-30
Vishakhapatnam,King George Hospital,RHEUMATOLOGY,2,31051,2015-09-01,2015-09-30
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,3750,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,CARDIOLOGY,1,10000,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,ENT  SURGERY,3,39300,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,GENERAL SURGERY,2,20110,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,GYNAECOLOGY AND OBSTETRICS  SURGERY,3,67700,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,NEPHROLOGY,1,10000,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,PEDIATRICS,3,43200,2015-09-01,2015-09-30
YSR Kadapa,Rims General Hospital,POLY TRAUMA,1,22300,2015-09-01,2015-09-30
Anantapur,Govt General Hospital Anantapur,ENT  SURGERY,1,11600,2015-10-01,2015-10-31
Anantapur,Govt General Hospital Anantapur,GENERAL SURGERY,2,44420,2015-10-01,2015-10-31
Anantapur,Govt General Hospital Anantapur,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,22130,2015-10-01,2015-10-31
Anantapur,Govt General Hospital Anantapur,ORTHOPEDIC  SURGERY AND PROCEDURES,1,19100,2015-10-01,2015-10-31
Anantapur,Govt General Hospital Anantapur,POLY TRAUMA,1,38800,2015-10-01,2015-10-31
Chittoor,S.V.R.R.Hospital,GASTROENTEROLOGY,1,40000,2015-10-01,2015-10-31
Chittoor,S.V.R.R.Hospital,GENERAL SURGERY,2,45870,2015-10-01,2015-10-31
Chittoor,S.V.R.R.Hospital,NEPHROLOGY,1,4310,2015-10-01,2015-10-31
East Godavari,"Government General Hospital,Kakinada",GENITO URINARY SURGERIES,1,14966,2015-10-01,2015-10-31
East Godavari,"Government General Hospital,Kakinada",NEUROLOGY,1,9800,2015-10-01,2015-10-31
East Godavari,"Government General Hospital,Kakinada",RADIATION ONCOLOGY,1,26000,2015-10-01,2015-10-31
East Godavari,SURYA GLOBAL MULTI SPECIALITY HOSPITALS AND CANCER RESEARCH CENTRE,NEPHROLOGY,1,23070,2015-10-01,2015-10-31
East Godavari,Siddhartha Hospital,PULMONOLOGY,1,32300,2015-10-01,2015-10-31
Guntur,Area Hospital - Bapatla,GENERAL SURGERY,1,22100,2015-10-01,2015-10-31
Guntur,"Government General Hospital, Guntur",CARDIOLOGY,1,13700,2015-10-01,2015-10-31
Guntur,"Government General Hospital, Guntur",NEPHROLOGY,1,19070,2015-10-01,2015-10-31
Guntur,"Government General Hospital, Guntur",NEUROLOGY,4,52400,2015-10-01,2015-10-31
Guntur,"Government General Hospital, Guntur",PEDIATRICS,1,11000,2015-10-01,2015-10-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,1,90000,2015-10-01,2015-10-31
Guntur,Karumuri Hospital,CARDIOLOGY,1,20000,2015-10-01,2015-10-31
Hyderabad,Nims Hospitals,CRITICAL CARE,1,44100,2015-10-01,2015-10-31
Hyderabad,Nims Hospitals,PULMONOLOGY,1,47300,2015-10-01,2015-10-31
Krishna,Govt. General Hospital- Vijayawada,NEPHROLOGY,1,15000,2015-10-01,2015-10-31
Krishna,Govt. General Hospital- Vijayawada,NEUROLOGY,3,55000,2015-10-01,2015-10-31
Krishna,Govt. General Hospital- Vijayawada,PEDIATRICS,1,20080,2015-10-01,2015-10-31
Kurnool,Govt General Hospital Kurnool,NEPHROLOGY,1,26020,2015-10-01,2015-10-31
Kurnool,Govt General Hospital Kurnool,NEUROLOGY,1,2000,2015-10-01,2015-10-31
Kurnool,Govt General Hospital Kurnool,ORTHOPEDIC  SURGERY AND PROCEDURES,1,15100,2015-10-01,2015-10-31
Prakasam,Area Hospital - Cheerala,POLY TRAUMA,1,20100,2015-10-01,2015-10-31
Prakasam,Rajiv Gandhi Institute of Medical Sciences RIMS Ongole,GENERAL SURGERY,1,23200,2015-10-01,2015-10-31
Srikakulam,CHC - Rajam,GENERAL SURGERY,2,50000,2015-10-01,2015-10-31
Vishakhapatnam,Government Victoria Hospital,GYNAECOLOGY AND OBSTETRICS  SURGERY,2,36500,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,ENDOCRINOLOGY,3,35760,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,GASTROENTEROLOGY,8,150070,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,GENERAL MEDICINE,14,191600,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,GENITO URINARY SURGERIES,4,67392,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,NEPHROLOGY,1,24070,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,NEUROLOGY,5,97700,2015-10-01,2015-10-31
Vishakhapatnam,King George Hospital,POLY TRAUMA,1,27300,2015-10-01,2015-10-31
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,10000,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,CARDIOLOGY,1,30000,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,GASTROENTEROLOGY,1,30000,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,GENERAL MEDICINE,1,25500,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,GYNAECOLOGY AND OBSTETRICS  SURGERY,6,141220,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,NEPHROLOGY,1,3750,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,NEUROLOGY,1,14230,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,OPHTHALMOLOGY  SURGERY,2,27100,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,PEDIATRICS,3,85000,2015-10-01,2015-10-31
YSR Kadapa,Rims General Hospital,PLASTIC SURGERY,2,40000,2015-10-01,2015-10-31
Anantapur,Aasha Hospital,GENERAL SURGERY,1,48000,2015-11-01,2015-11-30
Anantapur,Aasha Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,3,60000,2015-11-01,2015-11-30
Anantapur,Aasha Hospital,POLY TRAUMA,1,8000,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,ENT  SURGERY,2,20000,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,GENERAL SURGERY,7,149850,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,GYNAECOLOGY AND OBSTETRICS  SURGERY,2,49100,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,NEUROSURGERY,2,53300,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,POLY TRAUMA,5,101500,2015-11-01,2015-11-30
Chittoor,S.V.R.R.Hospital,GASTROENTEROLOGY,1,10000,2015-11-01,2015-11-30
Chittoor,S.V.R.R.Hospital,GENERAL SURGERY,3,74870,2015-11-01,2015-11-30
Chittoor,S.V.R.R.Hospital,PEDIATRICS,1,15000,2015-11-01,2015-11-30
Chittoor,S.V.R.R.Hospital,SURGICAL ONCOLOGY,2,29380,2015-11-01,2015-11-30
East Godavari,7 STAR SUPER SPECIALITY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,2,30000,2015-11-01,2015-11-30
East Godavari,"Government General Hospital,Kakinada",GENERAL SURGERY,1,14110,2015-11-01,2015-11-30
East Godavari,"Government General Hospital,Kakinada",PEDIATRICS,1,10000,2015-11-01,2015-11-30
East Godavari,"Government General Hospital,Kakinada",RADIATION ONCOLOGY,1,11200,2015-11-01,2015-11-30
East Godavari,Siddhartha Hospital,PULMONOLOGY,1,38000,2015-11-01,2015-11-30
Guntur,"Government General Hospital, Guntur",ENT  SURGERY,2,19300,2015-11-01,2015-11-30
Guntur,"Government General Hospital, Guntur",GASTROENTEROLOGY,3,43360,2015-11-01,2015-11-30
Guntur,"Government General Hospital, Guntur",GENERAL MEDICINE,2,20300,2015-11-01,2015-11-30
Guntur,"Government General Hospital, Guntur",NEPHROLOGY,1,12010,2015-11-01,2015-11-30
Guntur,"Government General Hospital, Guntur",NEUROLOGY,21,327250,2015-11-01,2015-11-30
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,12,1100588,2015-11-01,2015-11-30
Guntur,Manipal Health Enterprises PVT LTD,GENITO URINARY SURGERIES,1,20000,2015-11-01,2015-11-30
Hyderabad,Govt Ent Hospital  - Koti,COCHLEAR IMPLANT SURGERY,1,500000,2015-11-01,2015-11-30
Hyderabad,Nims Hospitals,CARDIAC AND CARDIOTHORACIC SURGERY,6,588220,2015-11-01,2015-11-30
Hyderabad,Nims Hospitals,ORTHOPEDIC  SURGERY AND PROCEDURES,1,5000,2015-11-01,2015-11-30
Hyderabad,Nims Hospitals,PEDIATRIC SURGERIES,1,24860,2015-11-01,2015-11-30
Hyderabad,Nims Hospitals,PULMONOLOGY,1,37800,2015-11-01,2015-11-30
Hyderabad,Nims Hospitals,SURGICAL ONCOLOGY,1,40000,2015-11-01,2015-11-30
Hyderabad,Unimed Healthcare Pvt- Ltd Star Hospitals,CARDIOLOGY,1,65000,2015-11-01,2015-11-30
Krishna,Govt. General Hospital- Vijayawada,GENERAL SURGERY,1,41200,2015-11-01,2015-11-30
Krishna,Govt. General Hospital- Vijayawada,ORTHOPEDIC  SURGERY AND PROCEDURES,1,15000,2015-11-01,2015-11-30
Krishna,Govt. General Hospital- Vijayawada,POLY TRAUMA,1,15000,2015-11-01,2015-11-30
Krishna,Govt. General Hospital- Vijayawada,PULMONOLOGY,2,53700,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,CRITICAL CARE,1,47300,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,ENT  SURGERY,1,11440,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,GENERAL MEDICINE,1,28200,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,GENERAL SURGERY,4,90310,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,15100,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,NEPHROLOGY,1,10000,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,NEUROLOGY,6,156890,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,NEUROSURGERY,6,239390,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,ORTHOPEDIC  SURGERY AND PROCEDURES,1,22300,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,PEDIATRIC SURGERIES,1,13830,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,POLY TRAUMA,2,42300,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,PULMONOLOGY,2,30500,2015-11-01,2015-11-30
Kurnool,Govt General Hospital Kurnool,SURGICAL ONCOLOGY,1,59710,2015-11-01,2015-11-30
Nellore,ABHIRAM INSTITUTE OF MEDICAL SCIENCES,NEPHROLOGY,1,12500,2015-11-01,2015-11-30
Nellore,Narayana Medical College Hospital,CRITICAL CARE,1,47300,2015-11-01,2015-11-30
Nellore,Narayana Medical College Hospital,PULMONOLOGY,1,40000,2015-11-01,2015-11-30
Nellore,SIMHAPURI HOSPITALS,NEPHROLOGY,1,11250,2015-11-01,2015-11-30
Prakasam,Nalluri Nursing Home,NEUROSURGERY,1,40800,2015-11-01,2015-11-30
Prakasam,Rajiv Gandhi Institute of Medical Sciences RIMS Ongole,ENT  SURGERY,1,16500,2015-11-01,2015-11-30
Srikakulam,"Rims Govt. General Hospital, Srikakulam",PEDIATRICS,1,35000,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,5,326940,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,CARDIOLOGY,12,245000,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,ENDOCRINOLOGY,2,24910,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,GASTROENTEROLOGY,7,132980,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,GENERAL MEDICINE,21,319900,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,GENERAL SURGERY,3,58200,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,GENITO URINARY SURGERIES,2,60270,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,NEPHROLOGY,1,12810,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,NEUROLOGY,32,705900,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,1,20000,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,PEDIATRIC SURGERIES,2,126350,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,PULMONOLOGY,2,39800,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,RHEUMATOLOGY,1,20500,2015-11-01,2015-11-30
Vishakhapatnam,King George Hospital,SURGICAL ONCOLOGY,3,107590,2015-11-01,2015-11-30
Vishakhapatnam,OMNI RK HOSPITAL A Unit of INCOR Hospitals Vizag PVT LTD,NEPHROLOGY,1,8750,2015-11-01,2015-11-30
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,2,20000,2015-11-01,2015-11-30
West Godavari,Area Hospital - Bhimavaram,NEUROLOGY,2,35000,2015-11-01,2015-11-30
YSR Kadapa,District Hospital - Proddutur,GENERAL SURGERY,3,62730,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,CARDIOLOGY,5,56600,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,ENDOCRINOLOGY,1,10300,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,ENT  SURGERY,5,49210,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,GASTROENTEROLOGY,1,18700,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,GENERAL SURGERY,5,77077,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,GYNAECOLOGY AND OBSTETRICS  SURGERY,6,132530,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,OPHTHALMOLOGY  SURGERY,3,26486,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,1,9000,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,PEDIATRIC SURGERIES,1,10000,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,PEDIATRICS,6,146100,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,PLASTIC SURGERY,1,81000,2015-11-01,2015-11-30
YSR Kadapa,Rims General Hospital,POLY TRAUMA,3,79600,2015-11-01,2015-11-30
Anantapur,Govt General Hospital Anantapur,ENT  SURGERY,2,27600,2015-12-01,2015-12-31
Anantapur,Govt General Hospital Anantapur,GENERAL SURGERY,10,226940,2015-12-01,2015-12-31
Anantapur,Govt General Hospital Anantapur,GYNAECOLOGY AND OBSTETRICS  SURGERY,4,100600,2015-12-01,2015-12-31
Anantapur,Govt General Hospital Anantapur,ORTHOPEDIC  SURGERY AND PROCEDURES,2,12600,2015-12-01,2015-12-31
Anantapur,Govt General Hospital Anantapur,POLY TRAUMA,4,53600,2015-12-01,2015-12-31
Chittoor,Pes Institute Of Medical Sciences And Research Hospital,NEPHROLOGY,3,37210,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,GASTROENTEROLOGY,1,25000,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,GENERAL SURGERY,1,40000,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,NEPHROLOGY,1,6810,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,NEUROLOGY,3,80210,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,ORTHOPEDIC  SURGERY AND PROCEDURES,2,34280,2015-12-01,2015-12-31
Chittoor,S.V.R.R.Hospital,POLY TRAUMA,1,6500,2015-12-01,2015-12-31
Chittoor,Sri Venkateswara Institute Of Medical Sciences,CARDIAC AND CARDIOTHORACIC SURGERY,1,85000,2015-12-01,2015-12-31
Chittoor,Sri Venkateswara Institute Of Medical Sciences,PULMONOLOGY,1,50000,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",GENERAL SURGERY,1,18200,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",GENITO URINARY SURGERIES,1,7300,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",NEPHROLOGY,1,11110,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",NEUROLOGY,1,18200,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",PEDIATRICS,5,64880,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",POLY TRAUMA,1,28200,2015-12-01,2015-12-31
East Godavari,"Government General Hospital,Kakinada",RADIATION ONCOLOGY,2,35000,2015-12-01,2015-12-31
East Godavari,SURYA GLOBAL MULTI SPECIALITY HOSPITALS AND CANCER RESEARCH CENTRE,CARDIOLOGY,1,30000,2015-12-01,2015-12-31
East Godavari,SURYA GLOBAL MULTI SPECIALITY HOSPITALS AND CANCER RESEARCH CENTRE,NEPHROLOGY,3,25000,2015-12-01,2015-12-31
Guntur,Area Hospital - Narsaraopet,GENITO URINARY SURGERIES,1,36670,2015-12-01,2015-12-31
Guntur,Aswini Hospital,NEPHROLOGY,1,5000,2015-12-01,2015-12-31
Guntur,District Hospital - Tenali,CARDIOLOGY,1,5000,2015-12-01,2015-12-31
Guntur,District Hospital - Tenali,GENERAL MEDICINE,1,20000,2015-12-01,2015-12-31
Guntur,District Hospital - Tenali,NEUROLOGY,5,63000,2015-12-01,2015-12-31
Guntur,"Government General Hospital, Guntur",ENDOCRINOLOGY,1,17010,2015-12-01,2015-12-31
Guntur,"Government General Hospital, Guntur",GASTROENTEROLOGY,7,99220,2015-12-01,2015-12-31
Guntur,"Government General Hospital, Guntur",NEPHROLOGY,1,29070,2015-12-01,2015-12-31
Guntur,"Government General Hospital, Guntur",NEUROLOGY,23,350180,2015-12-01,2015-12-31
Guntur,"Government General Hospital, Guntur",ORTHOPEDIC  SURGERY AND PROCEDURES,1,15480,2015-12-01,2015-12-31
